Terms,Freq,Posting,Compress Posting,Gamma Code
leve,12,"[9, 10, 11, 12, 13, 14, 15, 16, 52, 56, 67, 91]","[9, 1, 1, 1, 1, 1, 1, 1, 36, 4, 11, 24]","[1110001, 0, 0, 0, 0, 0, 0, 0, 11111000100, 11000, 1110011, 111101000]"
levis,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lewis,1,[9],[9],[1110001]
leão,13,"[1, 70, 89, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[1, 69, 19, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1111110000101, 111100011, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lgbtq,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
liberdade,6,"[3, 13, 51, 59, 84, 88]","[3, 10, 38, 8, 25, 4]","[101, 1110010, 11111000110, 1110000, 111101001, 11000]"
libertadora,5,"[84, 87, 88, 91, 100]","[84, 3, 1, 3, 9]","[1111110010100, 101, 0, 101, 1110001]"
lido,17,"[7, 12, 14, 16, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 96, 100]","[7, 5, 2, 2, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 59, 4]","[11011, 11001, 100, 100, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111011011, 11000]"
life,7,"[64, 65, 66, 67, 68, 69, 70]","[64, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0]"
ligar,22,"[12, 13, 14, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 74, 82, 83, 84, 88, 89, 91, 92, 101]","[12, 1, 1, 35, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 8, 1, 1, 4, 1, 2, 1, 9]","[1110100, 0, 0, 11111000011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100000, 1110000, 0, 0, 11000, 0, 100, 0, 1110001]"
ligação,9,"[9, 10, 11, 12, 13, 14, 15, 16, 26]","[9, 1, 1, 1, 1, 1, 1, 1, 10]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1110010]"
lima,9,"[59, 60, 61, 62, 63, 64, 67, 68, 70]","[59, 1, 1, 1, 1, 1, 3, 1, 2]","[11111011011, 0, 0, 0, 0, 0, 101, 0, 100]"
limitado,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
limite,15,"[5, 10, 12, 22, 83, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[5, 5, 2, 10, 61, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11001, 11001, 100, 1110010, 11111011101, 1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
limpar,20,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
limpeza,13,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 82, 87, 91]","[49, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 5, 4]","[11111010001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 11001, 11000]"
linda,8,"[1, 3, 5, 12, 83, 92, 93, 94]","[1, 2, 2, 7, 71, 9, 1, 1]","[0, 100, 100, 11011, 1111110000111, 1110001, 0, 0]"
lindo,6,"[1, 5, 9, 12, 55, 99]","[1, 4, 4, 3, 43, 44]","[0, 11000, 11000, 101, 11111001011, 11111001100]"
linear,3,"[64, 65, 69]","[64, 1, 4]","[1111110000000, 0, 11000]"
lingerie,27,"[49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[49, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
linguagem,9,"[0, 5, 7, 9, 41, 53, 56, 64, 75]","[0, 5, 2, 2, 32, 12, 3, 8, 11]","[0, 11001, 100, 100, 11111000000, 1110100, 101, 1110000, 1110011]"
linguística,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
linha,29,"[3, 9, 10, 11, 12, 13, 14, 15, 16, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[3, 6, 1, 1, 1, 1, 1, 1, 1, 33, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 11010, 0, 0, 0, 0, 0, 0, 0, 11111000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
liquidificador,27,"[49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[49, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lisa,1,[22],[22],[111100110]
lista,90,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
listar,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
literatura,74,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 33, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 50, 51, 54, 55, 64, 65, 66, 67, 68, 69, 70, 72, 73, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 9, 1, 1, 1, 1, 1, 1, 2, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 11000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 11000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 101, 0, 1110001, 0, 0, 0, 0, 0, 0, 100, 0, 1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
literária,24,"[5, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 83, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[5, 32, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 35, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11001, 11111000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111000011, 1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
livraria,47,"[1, 7, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 57, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[1, 6, 10, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 21, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 20, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 11010, 1110010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100101, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
livre,5,"[0, 9, 10, 12, 92]","[0, 9, 1, 2, 80]","[0, 1110001, 0, 100, 1111110010000]"
livreiro,21,"[0, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]","[0, 17, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 111100001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
livrinho,1,[15],[15],[1110111]
livro,102,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
loading,7,"[49, 52, 53, 55, 56, 57, 58]","[49, 3, 1, 2, 1, 1, 1]","[11111010001, 101, 0, 100, 0, 0, 0]"
lobato,1,[1],[1],[0]
lobo,26,"[6, 25, 30, 31, 52, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 82, 83, 85, 86, 90, 92, 94, 95, 98]","[6, 19, 5, 1, 21, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 12, 1, 2, 1, 4, 2, 2, 1, 3]","[11010, 111100011, 11001, 0, 111100101, 11011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110100, 0, 100, 0, 11000, 100, 100, 0, 101]"
locais,11,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 90]","[49, 1, 1, 1, 1, 1, 1, 1, 1, 1, 32]","[11111010001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111000000]"
local,9,"[9, 10, 11, 12, 13, 14, 15, 16, 35]","[9, 1, 1, 1, 1, 1, 1, 1, 19]","[1110001, 0, 0, 0, 0, 0, 0, 0, 111100011]"
localidades,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
localizador,10,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[49, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
localizar,6,"[64, 65, 66, 67, 68, 70]","[64, 1, 1, 1, 1, 2]","[1111110000000, 0, 0, 0, 0, 100]"
localização,13,"[11, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]","[11, 48, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110011, 11111010000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
localize,6,"[64, 65, 66, 67, 68, 70]","[64, 1, 1, 1, 1, 2]","[1111110000000, 0, 0, 0, 0, 100]"
login,52,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 23, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111100111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
logo,5,"[14, 15, 16, 22, 61]","[14, 1, 1, 6, 39]","[1110110, 0, 0, 11010, 11111000111]"
logístico,12,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[37, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111000101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
loja,102,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lojista,10,"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58]","[49, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111010001, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lonely,2,"[20, 21]","[20, 1]","[111100100, 0]"
longe,6,"[7, 9, 22, 89, 90, 93]","[7, 2, 13, 67, 1, 3]","[11011, 100, 1110101, 1111110000011, 0, 101]"
lote,9,"[59, 60, 61, 62, 63, 64, 67, 68, 70]","[59, 1, 1, 1, 1, 1, 3, 1, 2]","[11111011011, 0, 0, 0, 0, 0, 101, 0, 100]"
louca,1,[0],[0],[0]
louise,1,[9],[9],[1110001]
louça,18,"[25, 49, 52, 53, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[25, 24, 3, 1, 2, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[111101001, 111101000, 101, 0, 100, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lovecraft,1,[6],[6],[11010]
ltda,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 11, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1110001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1110011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
lucas,4,"[10, 70, 73, 92]","[10, 60, 3, 19]","[1110010, 11111011100, 101, 111100011]"
luccas,10,"[22, 71, 73, 74, 92, 93, 95, 96, 97, 101]","[22, 49, 2, 1, 18, 1, 2, 1, 1, 4]","[111100110, 11111010001, 100, 0, 111100010, 0, 100, 0, 0, 11000]"
ludofy,7,"[64, 65, 66, 67, 68, 69, 70]","[64, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0]"
lugar,26,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 24, 51, 54, 55, 69, 82, 85, 87, 89, 90, 93, 94, 95, 96, 100]","[6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 5, 27, 3, 1, 14, 13, 3, 2, 2, 1, 3, 1, 1, 1, 4]","[11010, 100, 0, 0, 0, 0, 0, 0, 0, 0, 101, 11001, 111101011, 101, 0, 1110110, 1110101, 101, 100, 100, 0, 101, 0, 0, 0, 11000]"
luiz,15,"[0, 18, 24, 26, 36, 59, 60, 61, 62, 63, 64, 67, 68, 70, 90]","[0, 18, 6, 2, 10, 23, 1, 1, 1, 1, 1, 3, 1, 2, 20]","[0, 111100010, 11010, 100, 1110010, 111100111, 0, 0, 0, 0, 0, 101, 0, 100, 111100100]"
luminária,17,"[64, 65, 66, 67, 68, 69, 70, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[64, 1, 1, 1, 1, 1, 1, 12, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0, 1110100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
luta,13,"[46, 85, 89, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[46, 39, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111001110, 11111000111, 11000, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
luxo,7,"[1, 3, 5, 9, 56, 95, 100]","[1, 2, 2, 4, 47, 39, 5]","[0, 100, 100, 11000, 11111001111, 11111000111, 11001]"
luís,9,"[59, 60, 61, 62, 63, 64, 67, 68, 70]","[59, 1, 1, 1, 1, 1, 3, 1, 2]","[11111011011, 0, 0, 0, 0, 0, 101, 0, 100]"
lápis,9,"[32, 64, 65, 66, 67, 68, 69, 70, 95]","[32, 32, 1, 1, 1, 1, 1, 1, 25]","[11111000000, 11111000000, 0, 0, 0, 0, 0, 0, 111101001]"
léguas,10,"[92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[92, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110011100, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
líbano,9,"[59, 60, 61, 62, 63, 64, 67, 68, 70]","[59, 1, 1, 1, 1, 1, 3, 1, 2]","[11111011011, 0, 0, 0, 0, 0, 101, 0, 100]"
líder,6,"[10, 59, 85, 87, 93, 101]","[10, 49, 26, 2, 6, 8]","[1110010, 11111010001, 111101010, 100, 11010, 1110000]"
língua,8,"[4, 6, 47, 57, 60, 79, 80, 81]","[4, 2, 41, 10, 3, 19, 1, 1]","[11000, 100, 11111001001, 1110010, 101, 111100011, 0, 0]"
machado,7,"[6, 8, 33, 38, 43, 72, 88]","[6, 2, 25, 5, 5, 29, 16]","[11010, 100, 111101001, 11001, 11001, 111101101, 111100000]"
madeira,19,"[6, 49, 52, 53, 55, 56, 57, 58, 85, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[6, 43, 3, 1, 2, 1, 1, 1, 27, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11010, 11111001011, 101, 0, 100, 0, 0, 0, 111101011, 11011, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
madeline,1,[22],[22],[111100110]
mafalda,1,[53],[53],[11111010101]
mail,30,"[8, 24, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 53, 55, 58, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]","[8, 16, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 3, 13, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1110000, 111100000, 1110101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 100, 101, 1110101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
maio,5,"[0, 1, 3, 5, 7]","[0, 1, 2, 2, 2]","[0, 0, 100, 100, 100]"
maior,33,"[0, 3, 5, 8, 11, 14, 19, 22, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 43, 52, 59, 60, 61, 65, 67, 83, 85, 86, 89, 90, 95]","[0, 3, 2, 3, 3, 3, 5, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 9, 7, 1, 1, 4, 2, 16, 2, 1, 3, 1, 5]","[0, 101, 100, 101, 101, 101, 11001, 101, 11000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11010, 1110001, 11011, 0, 0, 11000, 100, 111100000, 100, 0, 101, 0, 11001]"
mala,47,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 33, 1, 1, 1, 1, 1, 1, 1, 1, 1, 24, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11111000001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111101000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
maldade,1,[9],[9],[1110001]
maldições,4,"[5, 84, 88, 95]","[5, 79, 4, 7]","[11001, 1111110001111, 11000, 11011]"
malerman,3,"[3, 5, 12]","[3, 2, 7]","[101, 100, 11011]"
maletas,7,"[64, 65, 66, 67, 68, 69, 70]","[64, 1, 1, 1, 1, 1, 1]","[1111110000000, 0, 0, 0, 0, 0, 0]"
mall,12,"[59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70]","[59, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[11111011011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
mamãe,10,"[82, 83, 84, 85, 86, 87, 88, 89, 90, 91]","[82, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1111110010010, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
mancha,9,"[9, 10, 11, 12, 13, 14, 15, 16, 93]","[9, 1, 1, 1, 1, 1, 1, 1, 77]","[1110001, 0, 0, 0, 0, 0, 0, 0, 1111110001101]"
manchado,8,"[9, 10, 11, 12, 13, 14, 15, 16]","[9, 1, 1, 1, 1, 1, 1, 1]","[1110001, 0, 0, 0, 0, 0, 0, 0]"
maneira,9,"[6, 10, 13, 18, 45, 53, 61, 76, 100]","[6, 4, 3, 5, 27, 8, 8, 15, 24]","[11010, 11000, 101, 11001, 111101011, 1110000, 1110000, 1110111, 111101000]"
